Number of neurons,Error (lr 0.01),Error (lr 0.1),
2,48245.55469,45740.07813,
4,45589.41406,44614.99219,
8,44783.48438,43156.05859,
16,44187.84766,40969.80078,
32,42763.94922,38301.26953,
64,42657.42578,35869.36328,
128,43183.62109,34321.3125,
256,42166.19922,32943.45703,
512,41666.22266,33189.38672,
1024,39709.63672,33055.82031,
2048,37120.56641,33111.71484,
4096,34909.44141,33641.86328,
8192,33264.95703,32813.62109,
16384,33456.71875,,
,,,
512,,33203.5,
"512,512",,34518.61719,
"512,512,512",,33149.37109,
,,,
256,,32943.45703,
"256,256",,32485.63672,
"256,256,256",,35349.30469,
,,,
128,8,35369.48828,
128,16,34621.42188,
128,32,34484.625,
128,64,34344.08594,
128,128,32932.30078,
128,256,33415.19141,
128,512,33007.15234,
128,1024,32951.94141,
128,2048,32527.15625,
,,,
,,,
,,,0.01
128,256,256,35352.9
128,256,512,35759.2
128,256,1024,36113.7
128,256,2048,35380.9